timestamp,available,fee,rebate
2026-06-11 00:00:07,900000,29.155,-25.535
2026-06-11 00:15:44,900000,29.155,-25.535
2026-06-11 00:31:25,900000,29.155,-25.535
2026-06-11 00:47:03,900000,29.155,-25.535
2026-06-11 01:02:39,900000,29.155,-25.535
2026-06-11 01:18:16,900000,29.155,-25.535
2026-06-11 01:33:52,900000,29.155,-25.535
2026-06-11 01:49:27,900000,29.155,-25.535
2026-06-11 02:05:03,900000,29.155,-25.535
2026-06-11 02:20:55,900000,29.155,-25.535
2026-06-11 02:36:30,900000,29.155,-25.535
2026-06-11 02:52:03,900000,29.155,-25.535
2026-06-11 03:07:37,900000,29.155,-25.535
2026-06-11 03:23:14,900000,29.155,-25.535
2026-06-11 03:38:48,900000,29.155,-25.535
2026-06-11 03:54:22,900000,29.155,-25.535
2026-06-11 04:09:56,900000,29.155,-25.535
2026-06-11 04:25:28,900000,29.155,-25.535
2026-06-11 04:41:01,900000,29.155,-25.535
2026-06-11 04:56:37,900000,29.155,-25.535
2026-06-11 05:12:11,900000,29.155,-25.535
2026-06-11 05:27:51,900000,29.155,-25.535
2026-06-11 05:43:28,900000,29.155,-25.535
2026-06-11 05:59:05,900000,29.155,-25.535
2026-06-11 06:14:41,900000,29.155,-25.535
2026-06-11 06:30:17,900000,29.155,-25.535
2026-06-11 06:45:51,900000,29.155,-25.535
2026-06-11 07:01:30,900000,29.155,-25.535
2026-06-11 07:17:05,900000,29.155,-25.535
2026-06-11 07:32:43,850000,29.155,-25.535
2026-06-11 07:48:20,850000,29.155,-25.535
2026-06-11 08:04:00,850000,29.155,-25.535
2026-06-11 08:19:41,850000,29.155,-25.535
2026-06-11 08:35:24,900000,29.155,-25.535
2026-06-11 08:50:59,900000,29.155,-25.535
2026-06-11 09:06:33,900000,29.155,-25.535
2026-06-11 09:22:07,900000,29.155,-25.535
2026-06-11 09:37:45,900000,29.155,-25.535
2026-06-11 09:53:19,900000,29.155,-25.535
2026-06-11 10:08:59,900000,29.155,-25.535
2026-06-11 10:24:36,900000,29.155,-25.535
2026-06-11 10:40:11,900000,29.155,-25.535
2026-06-11 10:55:48,900000,29.155,-25.535
2026-06-11 11:11:30,900000,29.155,-25.535
2026-06-11 11:27:10,900000,29.155,-25.535
2026-06-11 11:42:45,900000,29.155,-25.535
2026-06-11 11:58:21,900000,29.155,-25.535
2026-06-11 12:13:56,900000,29.155,-25.535
2026-06-11 12:29:33,900000,29.153,-25.532
2026-06-11 12:45:10,900000,29.153,-25.532
2026-06-11 13:00:45,900000,29.153,-25.532
2026-06-11 13:16:21,900000,29.153,-25.532
2026-06-11 13:31:58,900000,29.153,-25.532
2026-06-11 13:47:32,900000,29.153,-25.532
2026-06-11 14:03:08,900000,29.153,-25.532
2026-06-11 14:18:43,900000,29.153,-25.532
2026-06-11 14:34:18,900000,29.153,-25.532
2026-06-11 14:49:52,900000,29.153,-25.532
2026-06-11 15:05:29,900000,29.153,-25.532
2026-06-11 15:21:06,900000,29.153,-25.532
2026-06-11 15:36:45,900000,29.153,-25.532
2026-06-11 15:52:19,900000,29.153,-25.532
2026-06-11 16:07:54,900000,29.153,-25.532
2026-06-11 16:23:29,900000,29.153,-25.532
2026-06-11 16:39:04,900000,29.153,-25.532
2026-06-11 16:54:46,900000,29.153,-25.532
2026-06-11 17:10:27,900000,29.153,-25.532
2026-06-11 17:26:07,900000,29.155,-25.535
2026-06-11 17:41:46,900000,29.155,-25.535
2026-06-11 17:57:21,900000,29.155,-25.535
2026-06-11 18:12:55,900000,29.155,-25.535
2026-06-11 18:28:29,900000,29.155,-25.535
2026-06-11 18:44:05,900000,29.155,-25.535
2026-06-11 18:59:38,900000,29.155,-25.535
2026-06-11 19:15:14,900000,29.155,-25.535
2026-06-11 19:30:50,900000,29.155,-25.535
2026-06-11 19:46:29,900000,29.155,-25.535
2026-06-11 20:02:04,900000,29.155,-25.535
2026-06-11 20:17:40,900000,29.155,-25.535
2026-06-11 20:33:17,900000,29.155,-25.535
2026-06-11 20:48:54,900000,29.155,-25.535
2026-06-11 21:04:37,900000,29.155,-25.535
2026-06-11 21:20:22,900000,29.155,-25.535
2026-06-11 21:35:59,900000,29.155,-25.535
2026-06-11 21:51:35,900000,29.155,-25.535
2026-06-11 22:07:12,900000,29.155,-25.535
2026-06-11 22:22:51,900000,29.155,-25.535
2026-06-11 22:38:34,900000,29.155,-25.535
2026-06-11 22:54:12,900000,29.155,-25.535
2026-06-11 23:09:52,900000,29.155,-25.535
2026-06-11 23:25:28,900000,29.155,-25.535
2026-06-11 23:41:06,900000,29.155,-25.535
2026-06-11 23:56:39,900000,29.155,-25.535
