reportingFacilityCode,totalParQuantity,shortParQuantity,marketCode,tradeReportDate,securitiesInformationProcessorSymbolIdentifier,shortExemptParQuantity
NYTRF,9065.0,4342.0,N,2025-08-18,CURR,0
NQTRF,120774.0,41862.0,Q,2025-07-31,CURR,11055
NYTRF,9882.0,5750.0,N,2025-07-31,CURR,0
NCTRF,803.0,800.0,B,2025-07-21,CURR,0
NQTRF,648307.0,255713.0,Q,2025-07-21,CURR,13279
NYTRF,12288.0,8037.0,N,2025-07-21,CURR,0
NCTRF,121996.0,62457.0,B,2025-07-07,CURR,0
NQTRF,18220274.0,10533381.0,Q,2025-07-07,CURR,148818
NYTRF,985293.0,466177.0,N,2025-07-07,CURR,0
NCTRF,1300.0,800.0,B,2025-09-12,CURR,0
NQTRF,149825.0,83180.0,Q,2025-09-12,CURR,679
NYTRF,3624.0,50.0,N,2025-09-12,CURR,0
NQTRF,86033.0,9171.0,Q,2025-09-09,CURR,0
NYTRF,13869.0,3130.0,N,2025-09-09,CURR,0
NCTRF,301.0,1.0,B,2025-09-03,CURR,0
NQTRF,17380.0,11655.0,Q,2025-09-03,CURR,0
NYTRF,196.0,30.0,N,2025-09-03,CURR,0
NQTRF,49699.0,33447.0,Q,2025-08-28,CURR,60
NYTRF,1490.0,372.0,N,2025-08-28,CURR,0
NQTRF,125164.0,60567.0,Q,2025-08-19,CURR,0
NYTRF,1350.0,930.0,N,2025-08-19,CURR,0
NCTRF,1233.0,1233.0,B,2025-08-14,CURR,0
NQTRF,743425.0,368106.0,Q,2025-08-14,CURR,1030
NYTRF,143270.0,86561.0,N,2025-08-14,CURR,0
NQTRF,56271.0,24239.0,Q,2025-08-07,CURR,834
NYTRF,3190.0,831.0,N,2025-08-07,CURR,0
NQTRF,139762.0,55615.0,Q,2025-08-06,CURR,19843
NYTRF,26377.0,1421.0,N,2025-08-06,CURR,0
NCTRF,60.0,50.0,B,2025-08-04,CURR,50
NQTRF,106348.0,57803.0,Q,2025-08-04,CURR,15806
NYTRF,20928.0,13106.0,N,2025-08-04,CURR,0
NCTRF,2687.0,442.0,B,2025-07-28,CURR,0
NQTRF,243529.0,105591.0,Q,2025-07-28,CURR,551
NYTRF,31387.0,25130.0,N,2025-07-28,CURR,0
NQTRF,28352.0,16872.0,Q,2025-09-05,CURR,170
NYTRF,551.0,551.0,N,2025-09-05,CURR,0
NQTRF,78693.0,49326.0,Q,2025-08-26,CURR,357
NYTRF,2323.0,332.0,N,2025-08-26,CURR,0
NCTRF,1700.0,800.0,B,2025-08-15,CURR,0
NQTRF,111283.0,51928.0,Q,2025-08-15,CURR,0
NYTRF,2780.0,1345.0,N,2025-08-15,CURR,0
NCTRF,600.0,600.0,B,2025-08-08,CURR,0
NQTRF,102843.0,70576.0,Q,2025-08-08,CURR,2200
NYTRF,11080.0,7242.0,N,2025-08-08,CURR,2117
NCTRF,600.0,500.0,B,2025-07-30,CURR,0
NQTRF,185278.0,101053.0,Q,2025-07-30,CURR,28391
NYTRF,6868.0,5856.0,N,2025-07-30,CURR,0
NCTRF,1553.0,53.0,B,2025-07-14,CURR,0
NQTRF,408725.0,228911.0,Q,2025-07-14,CURR,30466
NYTRF,17307.0,10166.0,N,2025-07-14,CURR,0
NQTRF,155609.0,96566.0,Q,2025-09-04,CURR,0
NYTRF,7042.0,35.0,N,2025-09-04,CURR,0
NQTRF,60326.0,12379.0,Q,2025-08-29,CURR,0
NYTRF,372.0,103.0,N,2025-08-29,CURR,0
NQTRF,60629.0,25060.0,Q,2025-08-05,CURR,2001
NYTRF,7823.0,7671.0,N,2025-08-05,CURR,0
NCTRF,7955.0,5010.0,B,2025-07-24,CURR,0
NQTRF,281523.0,152360.0,Q,2025-07-24,CURR,4635
NYTRF,16664.0,1679.0,N,2025-07-24,CURR,0
NCTRF,5643.0,3625.0,B,2025-07-23,CURR,0
NQTRF,508227.0,277568.0,Q,2025-07-23,CURR,2101
NYTRF,23415.0,11896.0,N,2025-07-23,CURR,0
NQTRF,166703.0,78734.0,Q,2025-07-15,CURR,16612
NYTRF,1189.0,189.0,N,2025-07-15,CURR,0
NQTRF,71967.0,22001.0,Q,2025-08-20,CURR,0
NYTRF,1198.0,1147.0,N,2025-08-20,CURR,0
NCTRF,5700.0,1000.0,B,2025-07-17,CURR,0
NQTRF,172199.0,80796.0,Q,2025-07-17,CURR,0
NYTRF,13219.0,9172.0,N,2025-07-17,CURR,0
NQTRF,1365005.0,773991.0,Q,2025-07-02,CURR,63939
NYTRF,26999.0,10797.0,N,2025-07-02,CURR,0
NCTRF,1526.0,1400.0,B,2025-07-29,CURR,0
NQTRF,530597.0,275375.0,Q,2025-07-29,CURR,116
NYTRF,10662.0,1601.0,N,2025-07-29,CURR,0
NCTRF,37196.0,20700.0,B,2025-07-22,CURR,0
NQTRF,917349.0,518199.0,Q,2025-07-22,CURR,2102
NYTRF,12710.0,5753.0,N,2025-07-22,CURR,0
NCTRF,2355.0,455.0,B,2025-07-18,CURR,0
NQTRF,352458.0,252468.0,Q,2025-07-18,CURR,0
NYTRF,7870.0,5284.0,N,2025-07-18,CURR,0
NCTRF,51.0,50.0,B,2025-07-16,CURR,0
NQTRF,164203.0,66519.0,Q,2025-07-16,CURR,0
NYTRF,9786.0,4750.0,N,2025-07-16,CURR,0
NCTRF,6702.0,2368.0,B,2025-07-08,CURR,201
NQTRF,1852840.0,1131946.0,Q,2025-07-08,CURR,92276
NYTRF,58150.0,36589.0,N,2025-07-08,CURR,2638
NCTRF,14030.0,11800.0,B,2025-05-27,CURR,0
NQTRF,10497477.0,5679180.0,Q,2025-05-27,CURR,226055
NYTRF,675332.0,409912.0,N,2025-05-27,CURR,0
NQTRF,73682.0,13905.0,Q,2025-08-21,CURR,0
NYTRF,694.0,67.0,N,2025-08-21,CURR,0
NCTRF,5105.0,1100.0,B,2025-07-01,CURR,0
NQTRF,2268879.0,1254703.0,Q,2025-07-01,CURR,9057
NYTRF,39541.0,12676.0,N,2025-07-01,CURR,0
NQTRF,195245.0,102087.0,Q,2025-07-25,CURR,11940
NYTRF,55380.0,5056.0,N,2025-07-25,CURR,0
NCTRF,1851.0,1650.0,B,2025-07-11,CURR,0
NQTRF,803502.0,348367.0,Q,2025-07-11,CURR,69692
NYTRF,42089.0,17480.0,N,2025-07-11,CURR,0
NCTRF,1901.0,701.0,B,2025-07-09,CURR,700
NQTRF,1189995.0,790507.0,Q,2025-07-09,CURR,55559
NYTRF,28945.0,1730.0,N,2025-07-09,CURR,0
NCTRF,3900.0,3800.0,B,2025-06-27,CURR,0
NQTRF,752601.0,377513.0,Q,2025-06-27,CURR,62568
NYTRF,69249.0,265.0,N,2025-06-27,CURR,0
NQTRF,384773.0,111771.0,Q,2025-06-09,CURR,0
NYTRF,164.0,99.0,N,2025-06-09,CURR,0
NQTRF,492031.0,247092.0,Q,2025-06-26,CURR,8230
NYTRF,6384.0,1855.0,N,2025-06-26,CURR,0
NQTRF,316590.0,61839.0,Q,2025-06-16,CURR,139
NYTRF,940.0,850.0,N,2025-06-16,CURR,0
NQTRF,54517.0,11809.0,Q,2025-08-27,CURR,0
NCTRF,5044.0,2992.0,B,2025-06-24,CURR,0
NQTRF,9101154.0,4790160.0,Q,2025-06-24,CURR,66003
NYTRF,259985.0,51963.0,N,2025-06-24,CURR,0
NCTRF,276613.0,155636.0,B,2025-06-23,CURR,0
NQTRF,76468821.0,42408734.0,Q,2025-06-23,CURR,283932
NYTRF,3168803.0,1118142.0,N,2025-06-23,CURR,0
NCTRF,500.0,500.0,B,2025-06-20,CURR,0
NQTRF,1955430.0,577222.0,Q,2025-06-20,CURR,77633
NYTRF,23227.0,200.0,N,2025-06-20,CURR,0
NQTRF,312157.0,62426.0,Q,2025-06-13,CURR,130
NYTRF,3440.0,135.0,N,2025-06-13,CURR,0
NCTRF,4101.0,1000.0,B,2025-11-28,CURR,0
NQTRF,65159.0,26378.0,Q,2025-11-28,CURR,0
NYTRF,1441.0,228.0,N,2025-11-28,CURR,0
NQTRF,650418.0,102854.0,Q,2025-06-03,CURR,5498
NYTRF,1403.0,220.0,N,2025-06-03,CURR,0
NCTRF,625.0,300.0,B,2025-05-30,CURR,0
NQTRF,793857.0,188731.0,Q,2025-05-30,CURR,15000
NYTRF,36391.0,2087.0,N,2025-05-30,CURR,0
NCTRF,19183.0,11465.0,B,2025-05-28,CURR,5135
NQTRF,4409732.0,2339815.0,Q,2025-05-28,CURR,281390
NYTRF,187478.0,105936.0,N,2025-05-28,CURR,0
NQTRF,367957.0,60315.0,Q,2025-06-11,CURR,0
NYTRF,20184.0,184.0,N,2025-06-11,CURR,0
NQTRF,737648.0,123803.0,Q,2025-06-10,CURR,0
NYTRF,235.0,235.0,N,2025-06-10,CURR,0
NCTRF,168.0,168.0,B,2025-06-04,CURR,168
NQTRF,556843.0,103179.0,Q,2025-06-04,CURR,10068
NYTRF,1007.0,7.0,N,2025-06-04,CURR,0
NCTRF,3803.0,3802.0,B,2025-05-22,CURR,3702
NQTRF,1163985.0,320883.0,Q,2025-05-22,CURR,72717
NYTRF,47683.0,9548.0,N,2025-05-22,CURR,0
NQTRF,376151.0,48427.0,Q,2025-05-21,CURR,390
NYTRF,21793.0,37.0,N,2025-05-21,CURR,0
NQTRF,1319195.0,843920.0,Q,2025-06-25,CURR,0
NYTRF,4624.0,2342.0,N,2025-06-25,CURR,0
NQTRF,543466.0,123755.0,Q,2025-06-17,CURR,12062
NYTRF,11168.0,3.0,N,2025-06-17,CURR,0
NQTRF,149645.0,29556.0,Q,2025-06-06,CURR,0
NCTRF,4675.0,400.0,B,2025-05-29,CURR,0
NQTRF,1470637.0,372274.0,Q,2025-05-29,CURR,5128
NYTRF,60735.0,26922.0,N,2025-05-29,CURR,0
NQTRF,440026.0,133884.0,Q,2025-05-23,CURR,9617
NYTRF,21415.0,1302.0,N,2025-05-23,CURR,0
NQTRF,14170.0,10848.0,Q,2025-12-24,CURR,0
NYTRF,1540.0,111.0,N,2025-12-24,CURR,0
NCTRF,100.0,100.0,B,2025-06-18,CURR,100
NQTRF,2043413.0,371316.0,Q,2025-06-18,CURR,7411
NYTRF,528.0,310.0,N,2025-06-18,CURR,0
NQTRF,268736.0,28700.0,Q,2025-06-12,CURR,0
NYTRF,3175.0,175.0,N,2025-06-12,CURR,0
NQTRF,110086.0,35371.0,Q,2025-06-05,CURR,500
NYTRF,80.0,80.0,N,2025-06-05,CURR,0
NCTRF,4303.0,4300.0,B,2025-07-10,CURR,0
NQTRF,911118.0,533751.0,Q,2025-07-10,CURR,22161
NYTRF,58962.0,43536.0,N,2025-07-10,CURR,0
NCTRF,1000.0,1000.0,B,2025-06-02,CURR,0
NQTRF,413389.0,51996.0,Q,2025-06-02,CURR,0
NQTRF,490345.0,272739.0,Q,2025-07-03,CURR,31295
NYTRF,23794.0,10983.0,N,2025-07-03,CURR,0
