reportingFacilityCode,totalParQuantity,shortParQuantity,marketCode,tradeReportDate,securitiesInformationProcessorSymbolIdentifier,shortExemptParQuantity
NQTRF,67853.212978,17872.0,Q,2026-03-12,CURR,0
NQTRF,40319.261031,22532.806449,Q,2026-05-20,CURR,0
NYTRF,4300.0,1717.0,N,2026-05-20,CURR,0
NQTRF,26698.852855,5371.984214,Q,2026-04-15,CURR,601
NYTRF,3364.0,1882.0,N,2026-04-15,CURR,0
NQTRF,68418.344877,31087.87914,Q,2026-04-21,CURR,0
NYTRF,2975.0,1431.0,N,2026-04-21,CURR,0
NCTRF,223.0,223.0,B,2026-02-26,CURR,0
NQTRF,21411.089992,13104.913157,Q,2026-02-26,CURR,0
NYTRF,2626.0,1429.0,N,2026-02-26,CURR,0
NQTRF,24612.957727,19456.369978,Q,2026-03-13,CURR,0
NYTRF,144.0,100.0,N,2026-03-13,CURR,0
NCTRF,632.0,605.0,B,2026-04-06,CURR,0
NQTRF,81387.476534,22051.074809,Q,2026-04-06,CURR,0
NYTRF,5795.0,206.0,N,2026-04-06,CURR,0
NCTRF,4308.0,2007.0,B,2026-04-16,CURR,0
NQTRF,101439.417738,38739.205847,Q,2026-04-16,CURR,0
NYTRF,2494.0,1631.0,N,2026-04-16,CURR,0
NCTRF,1400.0,800.0,B,2026-02-24,CURR,0
NQTRF,51662.9344,26900.0,Q,2026-02-24,CURR,800
NYTRF,1519.0,1405.0,N,2026-02-24,CURR,0
NQTRF,58388.952588,4083.0,Q,2026-04-30,CURR,0
NQTRF,31581.205532,12867.578332,Q,2026-04-23,CURR,0
NCTRF,719.0,7.0,B,2026-04-02,CURR,0
NQTRF,67421.434494,28389.593801,Q,2026-04-02,CURR,0
NYTRF,2275.0,825.0,N,2026-04-02,CURR,0
NCTRF,780.5882,580.0,B,2026-04-28,CURR,0
NQTRF,16856.581338,4623.0,Q,2026-04-28,CURR,0
NYTRF,2200.0,135.0,N,2026-04-28,CURR,0
NQTRF,8632.784224,296.028397,Q,2026-03-19,CURR,0
NQTRF,38819.281393,19856.03345,Q,2026-02-25,CURR,0
NYTRF,2369.0,869.0,N,2026-02-25,CURR,0
NCTRF,110.5882,110.0,B,2026-04-29,CURR,0
NQTRF,20141.037395,6976.507518,Q,2026-04-29,CURR,300
NYTRF,5920.0,2202.0,N,2026-04-29,CURR,0
NQTRF,21151.710278,7737.31496,Q,2026-04-22,CURR,0
NYTRF,431.0,305.0,N,2026-04-22,CURR,0
NQTRF,67084.018098,12668.853537,Q,2026-04-09,CURR,0
NQTRF,17454.716651,9427.8931,Q,2026-03-17,CURR,0
NYTRF,342.0,309.0,N,2026-03-17,CURR,0
NQTRF,28472.190136,10742.0,Q,2026-03-26,CURR,0
NQTRF,12415.28094,2195.0,Q,2026-03-11,CURR,0
NYTRF,3109.0,100.0,N,2026-03-11,CURR,0
NQTRF,204757.003258,41594.755349,Q,2026-04-10,CURR,4100
NYTRF,6010.0,2.0,N,2026-04-10,CURR,0
