name,slug,url,formType,effectiveDate,fileDate,ownershipPercent,ownershipPercentChange,shares,sharesChange,sharesPercentChange
Wong Man San,wong-man-san-5239,https://fintel.io/i/wong-man-san-5239,SCHEDULE 13G,2025-10-07,2025-10-07,5.0,-7.136644900577387,3795837,-291714,-7.136644900577387
Wong Nga Man,wong-nga-man-5804,https://fintel.io/i/wong-nga-man-5804,SCHEDULE 13G/A,2025-07-25,2025-07-25,0.1,,4501309,4501309,
Huang Yafangzhou,huang-yafangzhou-5634,https://fintel.io/i/huang-yafangzhou-5634,SCHEDULE 13G/A,2025-07-25,2025-07-25,0.0,0.0,3477818,0,0.0
