ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,dataset
2026-05-18 13:45:12.592958896+00:00,2026-05-18 13:45:12.592744439+00:00,0,43,19474,T,N,0,3.27,200,128,199513,9422313,CURR,ARCX.PILLAR
2026-05-18 13:48:56.439366830+00:00,2026-05-18 13:48:56.439147652+00:00,0,43,19474,T,N,0,3.15,100,0,199827,10390144,CURR,ARCX.PILLAR
2026-05-18 13:48:56.439366830+00:00,2026-05-18 13:48:56.439147652+00:00,0,43,19474,T,A,0,3.14,100,0,199827,10390145,CURR,ARCX.PILLAR
2026-05-18 13:48:56.439374149+00:00,2026-05-18 13:48:56.439148111+00:00,0,43,19474,T,N,0,3.14,200,128,199771,10390146,CURR,ARCX.PILLAR
2026-05-18 13:49:16.497124557+00:00,2026-05-18 13:49:16.496911260+00:00,0,43,19474,T,N,0,3.16,110,0,199690,10473574,CURR,ARCX.PILLAR
2026-05-18 13:49:16.497124557+00:00,2026-05-18 13:49:16.496911260+00:00,0,43,19474,T,N,0,3.15,90,128,199690,10473575,CURR,ARCX.PILLAR
2026-05-18 13:56:31.432819691+00:00,2026-05-18 13:56:31.432606479+00:00,0,43,19474,T,N,0,3.2,25,128,199335,11867122,CURR,ARCX.PILLAR
2026-05-18 13:56:31.432840496+00:00,2026-05-18 13:56:31.432630335+00:00,0,43,19474,T,N,0,3.2,75,128,199776,11867123,CURR,ARCX.PILLAR
2026-05-18 13:56:45.049461036+00:00,2026-05-18 13:56:45.049240090+00:00,0,43,19474,T,A,0,3.15,1,0,199626,11915707,CURR,ARCX.PILLAR
2026-05-18 13:56:45.049473044+00:00,2026-05-18 13:56:45.049243267+00:00,0,43,19474,T,A,0,3.14,1,0,199618,11915708,CURR,ARCX.PILLAR
2026-05-18 13:56:45.049733097+00:00,2026-05-18 13:56:45.049522823+00:00,0,43,19474,T,A,0,3.13,83,0,199812,11915727,CURR,ARCX.PILLAR
2026-05-18 13:56:45.051670080+00:00,2026-05-18 13:56:45.051459019+00:00,0,43,19474,T,A,0,3.14,26,0,199614,11915758,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052212853+00:00,2026-05-18 13:56:45.052002217+00:00,0,43,19474,T,A,0,3.13,688,0,199674,11915764,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052222605+00:00,2026-05-18 13:56:45.052008176+00:00,0,43,19474,T,A,0,3.13,100,0,199648,11915765,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052242498+00:00,2026-05-18 13:56:45.052031058+00:00,0,43,19474,T,A,0,3.13,529,0,199634,11915768,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052249048+00:00,2026-05-18 13:56:45.052031349+00:00,0,43,19474,T,A,0,3.13,329,0,199849,11915769,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052253361+00:00,2026-05-18 13:56:45.052037688+00:00,0,43,19474,T,A,0,3.13,171,0,199721,11915770,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052313161+00:00,2026-05-18 13:56:45.052102827+00:00,0,43,19474,T,A,0,3.13,50,0,199773,11915772,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052323630+00:00,2026-05-18 13:56:45.052108448+00:00,0,43,19474,T,A,0,3.13,50,0,199773,11915773,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052341133+00:00,2026-05-18 13:56:45.052119364+00:00,0,43,19474,T,A,0,3.13,100,0,199944,11915774,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052351603+00:00,2026-05-18 13:56:45.052119651+00:00,0,43,19474,T,A,0,3.13,500,0,199546,11915775,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052510044+00:00,2026-05-18 13:56:45.052299836+00:00,0,43,19474,T,A,0,3.13,100,0,199564,11915778,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052521754+00:00,2026-05-18 13:56:45.052310859+00:00,0,43,19474,T,A,0,3.13,50,0,199781,11915779,CURR,ARCX.PILLAR
2026-05-18 13:56:45.052662052+00:00,2026-05-18 13:56:45.052452191+00:00,0,43,19474,T,A,0,3.13,50,0,199547,11915781,CURR,ARCX.PILLAR
2026-05-18 13:57:36.901505406+00:00,2026-05-18 13:57:36.901294667+00:00,0,43,19474,T,N,0,3.045,110,128,199593,12079717,CURR,ARCX.PILLAR
