ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,dataset
2026-05-18 13:31:31.355936830+00:00,2026-05-18 13:31:31.355742474+00:00,0,81,19474,T,N,0,3.62,29,128,194356,3261010,CURR,XNAS.BASIC
2026-05-18 13:31:31.357290910+00:00,2026-05-18 13:31:31.357098298+00:00,0,81,19474,T,N,0,3.58,600,128,192612,3261011,CURR,XNAS.BASIC
2026-05-18 13:31:31.357310840+00:00,2026-05-18 13:31:31.357119837+00:00,0,81,19474,T,N,0,3.58,100,128,191003,3261012,CURR,XNAS.BASIC
2026-05-18 13:31:31.357491023+00:00,2026-05-18 13:31:31.357298687+00:00,0,81,19474,T,N,0,3.56,429,128,192336,3261013,CURR,XNAS.BASIC
2026-05-18 13:31:31.357946153+00:00,2026-05-18 13:31:31.357753609+00:00,0,81,19474,T,N,0,3.56,23,128,192544,3261014,CURR,XNAS.BASIC
2026-05-18 13:31:31.358043445+00:00,2026-05-18 13:31:31.357844803+00:00,0,82,19474,T,N,0,3.57,110,128,198642,3261015,CURR,XNAS.BASIC
2026-05-18 13:31:31.359993511+00:00,2026-05-18 13:31:31.359796625+00:00,0,82,19474,T,N,0,3.56,110,128,196886,3261019,CURR,XNAS.BASIC
2026-05-18 13:31:31.363319517+00:00,2026-05-18 13:31:31.363127114+00:00,0,81,19474,T,N,0,3.56,25,128,192403,3261024,CURR,XNAS.BASIC
2026-05-18 13:31:31.364079340+00:00,2026-05-18 13:31:31.363884579+00:00,0,82,19474,T,N,0,3.56,90,128,194761,3261025,CURR,XNAS.BASIC
2026-05-18 13:31:31.364126200+00:00,2026-05-18 13:31:31.363935263+00:00,0,81,19474,T,N,0,3.56,75,128,190937,3261026,CURR,XNAS.BASIC
2026-05-18 13:31:31.365617357+00:00,2026-05-18 13:31:31.365419897+00:00,0,82,19474,T,N,0,3.56,20,128,197460,3261030,CURR,XNAS.BASIC
2026-05-18 13:31:31.366443649+00:00,2026-05-18 13:31:31.366247694+00:00,0,82,19474,T,N,0,3.56,80,128,195955,3261036,CURR,XNAS.BASIC
2026-05-18 13:31:31.372642578+00:00,2026-05-18 13:31:31.372446426+00:00,0,81,19474,T,N,0,3.56,25,128,196152,3261050,CURR,XNAS.BASIC
2026-05-18 13:31:31.372673455+00:00,2026-05-18 13:31:31.372489832+00:00,0,88,19474,T,N,0,3.55,25,0,183623,3261051,CURR,XNAS.BASIC
2026-05-18 13:31:31.372673455+00:00,2026-05-18 13:31:31.372482466+00:00,0,81,19474,T,N,0,3.56,25,128,190989,3261052,CURR,XNAS.BASIC
2026-05-18 13:31:31.372712667+00:00,2026-05-18 13:31:31.372519821+00:00,0,81,19474,T,N,0,3.56,25,128,192846,3261053,CURR,XNAS.BASIC
2026-05-18 13:31:31.372719384+00:00,2026-05-18 13:31:31.372538543+00:00,0,88,19474,T,N,0,3.55,25,128,180841,3261054,CURR,XNAS.BASIC
2026-05-18 13:31:31.372755943+00:00,2026-05-18 13:31:31.372563445+00:00,0,81,19474,T,N,0,3.56,25,128,192498,3261056,CURR,XNAS.BASIC
2026-05-18 13:31:31.384691165+00:00,2026-05-18 13:31:31.384498597+00:00,0,81,19474,T,N,0,3.56,25,128,192568,3261088,CURR,XNAS.BASIC
2026-05-18 13:31:31.481266338+00:00,2026-05-18 13:31:31.481070712+00:00,0,82,19474,T,N,0,3.6,100,128,195626,3261413,CURR,XNAS.BASIC
2026-05-18 13:31:32.368457606+00:00,2026-05-18 13:31:32.368276558+00:00,0,88,19474,T,N,0,3.55,25,128,181048,3263668,CURR,XNAS.BASIC
2026-05-18 13:31:32.594699565+00:00,2026-05-18 13:31:32.594503340+00:00,0,82,19474,T,N,0,3.567,279,128,196225,3264453,CURR,XNAS.BASIC
2026-05-18 13:31:34.890358826+00:00,2026-05-18 13:31:34.890157842+00:00,0,82,19474,T,N,0,3.56,100,128,200984,3271499,CURR,XNAS.BASIC
2026-05-18 13:31:34.890838429+00:00,2026-05-18 13:31:34.890640327+00:00,0,82,19474,T,N,0,3.5695,100,128,198102,3271500,CURR,XNAS.BASIC
2026-05-18 13:31:35.342662362+00:00,2026-05-18 13:31:35.342470861+00:00,0,81,19474,T,N,0,3.57,109,128,191501,3272860,CURR,XNAS.BASIC
2026-05-18 13:33:49.634260507+00:00,2026-05-18 13:33:49.634064317+00:00,0,82,19474,T,N,0,3.43,999,128,196190,3725192,CURR,XNAS.BASIC
2026-05-18 13:34:24.824536489+00:00,2026-05-18 13:34:24.824340327+00:00,0,82,19474,T,N,0,3.42,100,128,196162,3841562,CURR,XNAS.BASIC
2026-05-18 13:36:03.307134687+00:00,2026-05-18 13:36:03.306942710+00:00,0,81,19474,T,N,0,3.42,600,128,191977,4176591,CURR,XNAS.BASIC
2026-05-18 13:36:03.307777249+00:00,2026-05-18 13:36:03.307595043+00:00,0,88,19474,T,N,0,3.42,25,128,182206,4176593,CURR,XNAS.BASIC
2026-05-18 13:36:03.307832583+00:00,2026-05-18 13:36:03.307647678+00:00,0,88,19474,T,N,0,3.42,25,128,184905,4176594,CURR,XNAS.BASIC
2026-05-18 13:37:17.583970062+00:00,2026-05-18 13:37:17.583767456+00:00,0,82,19474,T,N,0,3.42,100,128,202606,4442048,CURR,XNAS.BASIC
2026-05-18 13:37:49.929395722+00:00,2026-05-18 13:37:49.929197515+00:00,0,82,19474,T,N,0,3.43,100,128,198207,4544134,CURR,XNAS.BASIC
2026-05-18 13:38:15.926143490+00:00,2026-05-18 13:38:15.925946265+00:00,0,82,19474,T,N,0,3.43,100,128,197225,4632076,CURR,XNAS.BASIC
2026-05-18 13:38:21.276593964+00:00,2026-05-18 13:38:21.276395390+00:00,0,82,19474,T,N,0,3.43,100,128,198574,4652707,CURR,XNAS.BASIC
2026-05-18 13:38:24.182678745+00:00,2026-05-18 13:38:24.182482327+00:00,0,81,19474,T,N,0,3.43,100,128,196418,4670445,CURR,XNAS.BASIC
2026-05-18 13:38:30.076218845+00:00,2026-05-18 13:38:30.076015835+00:00,0,81,19474,T,N,0,3.42,100,0,203010,4693611,CURR,XNAS.BASIC
2026-05-18 13:38:30.076218845+00:00,2026-05-18 13:38:30.076015835+00:00,0,81,19474,T,N,0,3.42,100,128,203010,4693612,CURR,XNAS.BASIC
2026-05-18 13:38:33.355142871+00:00,2026-05-18 13:38:33.354951099+00:00,0,81,19474,T,N,0,3.43,100,128,191772,4704478,CURR,XNAS.BASIC
2026-05-18 13:38:42.202300230+00:00,2026-05-18 13:38:42.202096203+00:00,0,82,19474,T,N,0,3.435,8,128,204027,4735676,CURR,XNAS.BASIC
2026-05-18 13:39:47.732582139+00:00,2026-05-18 13:39:47.732379988+00:00,0,81,19474,T,N,0,3.43,200,0,202151,4963506,CURR,XNAS.BASIC
2026-05-18 13:39:47.732582139+00:00,2026-05-18 13:39:47.732379988+00:00,0,81,19474,T,N,0,3.42,533,0,202151,4963507,CURR,XNAS.BASIC
2026-05-18 13:39:47.732582139+00:00,2026-05-18 13:39:47.732380770+00:00,0,81,19474,T,N,0,3.42,89,128,201369,4963508,CURR,XNAS.BASIC
2026-05-18 13:39:47.732585601+00:00,2026-05-18 13:39:47.732382155+00:00,0,81,19474,T,N,0,3.42,822,0,203446,4963509,CURR,XNAS.BASIC
2026-05-18 13:39:47.732585601+00:00,2026-05-18 13:39:47.732382560+00:00,0,81,19474,T,N,0,3.42,650,128,203041,4963510,CURR,XNAS.BASIC
2026-05-18 13:39:47.814123209+00:00,2026-05-18 13:39:47.813931500+00:00,0,81,19474,T,N,0,3.42,651,128,191709,4963849,CURR,XNAS.BASIC
2026-05-18 13:39:47.814166969+00:00,2026-05-18 13:39:47.813973843+00:00,0,81,19474,T,N,0,3.41,77,128,193126,4963850,CURR,XNAS.BASIC
2026-05-18 13:39:47.814179220+00:00,2026-05-18 13:39:47.813982125+00:00,0,81,19474,T,N,0,3.4,1035,128,197095,4963852,CURR,XNAS.BASIC
2026-05-18 13:39:47.931864069+00:00,2026-05-18 13:39:47.931667622+00:00,0,82,19474,T,N,0,3.35,5,128,196447,4964239,CURR,XNAS.BASIC
2026-05-18 13:39:48.600668811+00:00,2026-05-18 13:39:48.600469786+00:00,0,82,19474,T,N,0,3.365,50,128,199025,4966394,CURR,XNAS.BASIC
2026-05-18 13:39:48.601384+00:00,2026-05-18 13:39:48.601188248+00:00,0,82,19474,T,N,0,3.365,50,128,195752,4966396,CURR,XNAS.BASIC
2026-05-18 13:39:55.164884439+00:00,2026-05-18 13:39:55.164691010+00:00,0,81,19474,T,N,0,3.34,100,128,193429,4988619,CURR,XNAS.BASIC
2026-05-18 13:39:55.171751417+00:00,2026-05-18 13:39:55.171553422+00:00,0,82,19474,T,N,0,3.34,100,128,197995,4988637,CURR,XNAS.BASIC
2026-05-18 13:40:11.524958389+00:00,2026-05-18 13:40:11.524764795+00:00,0,81,19474,T,N,0,3.34,100,128,193594,5054080,CURR,XNAS.BASIC
2026-05-18 13:40:20.669577272+00:00,2026-05-18 13:40:20.669372114+00:00,0,81,19474,T,N,0,3.34,460,0,205158,5086336,CURR,XNAS.BASIC
2026-05-18 13:40:20.669577272+00:00,2026-05-18 13:40:20.669372114+00:00,0,81,19474,T,N,0,3.34,314,0,205158,5086337,CURR,XNAS.BASIC
2026-05-18 13:40:20.669577272+00:00,2026-05-18 13:40:20.669372114+00:00,0,81,19474,T,N,0,3.34,214,0,205158,5086338,CURR,XNAS.BASIC
2026-05-18 13:40:20.669577272+00:00,2026-05-18 13:40:20.669372114+00:00,0,81,19474,T,N,0,3.34,214,128,205158,5086339,CURR,XNAS.BASIC
2026-05-18 13:40:20.670138131+00:00,2026-05-18 13:40:20.669945580+00:00,0,81,19474,T,N,0,3.33,2147,128,192551,5086343,CURR,XNAS.BASIC
2026-05-18 13:40:20.670145491+00:00,2026-05-18 13:40:20.669949477+00:00,0,81,19474,T,N,0,3.33,1307,128,196014,5086344,CURR,XNAS.BASIC
2026-05-18 13:40:20.673933158+00:00,2026-05-18 13:40:20.673740470+00:00,0,81,19474,T,N,0,3.33,100,128,192688,5086352,CURR,XNAS.BASIC
2026-05-18 13:40:20.678006532+00:00,2026-05-18 13:40:20.677806928+00:00,0,81,19474,T,N,0,3.33,100,0,199604,5086360,CURR,XNAS.BASIC
2026-05-18 13:40:20.678006532+00:00,2026-05-18 13:40:20.677806928+00:00,0,81,19474,T,N,0,3.33,100,0,199604,5086361,CURR,XNAS.BASIC
2026-05-18 13:40:20.678006532+00:00,2026-05-18 13:40:20.677806928+00:00,0,81,19474,T,N,0,3.34,486,128,199604,5086362,CURR,XNAS.BASIC
2026-05-18 13:40:20.678048192+00:00,2026-05-18 13:40:20.677846988+00:00,0,81,19474,T,N,0,3.34,114,0,201204,5086363,CURR,XNAS.BASIC
2026-05-18 13:40:20.678048192+00:00,2026-05-18 13:40:20.677846988+00:00,0,81,19474,T,N,0,3.34,86,0,201204,5086364,CURR,XNAS.BASIC
2026-05-18 13:40:20.678048192+00:00,2026-05-18 13:40:20.677846988+00:00,0,81,19474,T,N,0,3.34,298,0,201204,5086365,CURR,XNAS.BASIC
2026-05-18 13:40:20.678048192+00:00,2026-05-18 13:40:20.677846988+00:00,0,81,19474,T,N,0,3.34,100,128,201204,5086366,CURR,XNAS.BASIC
2026-05-18 13:40:20.678106772+00:00,2026-05-18 13:40:20.677924533+00:00,0,88,19474,T,N,0,3.34,25,128,182239,5086367,CURR,XNAS.BASIC
